Current,Brand,Model,Headsize (sq in),Length (in),Beam Width (mm),Weight (g),Balance (cm),Swingweight (kg cm^2),Twistweight (kg cm^2),Recoil Weight (kg cm^2),Polarization Index,Sweet Zone (sq in),RA Stiffness,Vibration Frequency (Hz),MgR/I,String Pattern
False,Adidas,Barricade,95.0,27.0,24.0,317.0,33.4,321.0,13.9,147.0,0.18,15.3,61.0,138.4,20.73644336967962,16x19
False,Adidas,Barricade Tour,95.0,27.0,24.0,346.0,31.75,335.0,13.5,171.0,0.26,16.64,64.0,145.4,20.722388889543534,18x20
False,Adidas,Feather,105.0,27.2,25.0,270.3,35.5,303.0,13.6,127.0,0.18,12.56,59.0,133.8,20.118943336521465,18x20
False,Adidas,Response,100.0,27.0,26.0,293.5,34.1,316.0,12.0,146.0,0.27,14.54,64.0,145.4,20.13850726310973,16x20
False,Asics,Asics 109,109.0,27.25,26.0,292.0,34.9,313.0,15.3,132.0,0.13,15.67,76.0,180.5,20.489893633033514,16x21
False,Asics,Asics 116,116.0,27.25,27.0,269.0,35.2,288.0,15.3,117.0,0.09,12.2,74.0,181.8,20.617637381652692,16x22
False,Asics,Asics 125,125.0,27.5,29.0,272.0,36.1,308.0,17.7,123.0,0.11,16.84,75.0,188.0,20.163911216614665,16x22
False,Asics,BZ 100,100.0,27.0,27.0,326.0,33.0,303.0,15.5,131.0,0.03,14.4,75.0,176.1,21.703529116445207,16x19
False,Avery,M3 Control,95.0,27.0,20.0,342.0,30.48,300.0,11.8,157.0,0.17,10.86,60.0,136.1,21.529971556148546,16x20
False,Avery,M3 Power,95.0,27.0,20.0,352.0,32.07,327.0,12.3,156.0,0.13,15.56,65.0,147.7,21.366682151274382,16x20
False,Avery,M5,110.0,27.0,20.0,351.0,31.11,326.0,16.6,170.0,0.24,16.22,60.0,136.1,21.005468209376495,16x19
False,Babolat,Aero 112,112.0,27.5,27.0,286.0,36.51,328.0,17.2,127.0,0.09,16.16,64.0,145.4,20.1448108606136,16x19
False,Babolat,Aero Blast,112.0,27.5,27.0,298.0,37.15,350.0,17.4,130.0,0.07,20.27,61.0,138.4,20.054115132893116,16x19
False,Babolat,Aero Storm,98.0,27.0,20.0,332.0,31.1,324.0,12.9,176.0,0.35,15.07,65.0,147.7,20.36527698330274,16x20
False,Babolat,Aero Storm GT,98.0,27.0,22.0,319.6,33.5,332.0,12.3,156.0,0.25,15.84,71.0,155.1,20.397145477956702,16x20
False,Babolat,Aero Storm Tour GT,98.0,27.0,22.0,332.6,32.5,324.0,12.2,156.0,0.2,15.44,69.0,153.1,20.892040103782954,16x20
False,Babolat,Aero Tour MP,97.0,27.0,18.0,328.0,32.7,313.0,14.0,144.0,0.12,13.71,73.0,166.1,21.257073596450507,16x19
False,Babolat,Aero Tour OS,107.0,27.3,20.0,314.0,32.7,313.0,18.3,151.0,0.2,15.21,70.0,159.2,20.682962256366658,18x20
False,Babolat,AeroPro Control Plus,100.0,27.5,21.0,334.0,32.4,335.0,12.9,167.0,0.23,16.57,70.0,159.2,20.49878690894074,16x19
False,Babolat,AeroPro Drive 2013,100.0,27.0,26.0,316.0,32.7,306.0,14.1,143.0,0.15,14.35,69.0,155.3,21.068401867814813,16x19
False,Babolat,AeroPro Drive Cortex,100.0,27.0,26.0,314.68,33.02,328.0,12.7,161.0,0.31,15.06,67.0,152.3,20.210421344134698,16x19
False,Babolat,AeroPro Drive GT,100.0,27.0,26.0,310.0,33.0,316.0,14.1,152.0,0.25,14.39,70.0,160.4,20.487581445699462,16x19
False,Babolat,AeroPro Drive GT Plus,100.0,27.25,26.0,316.3,33.4,340.0,15.1,167.0,0.32,16.45,70.0,155.1,19.92571197641801,16x19
False,Babolat,AeroPro Drive GT Plus / 2013,100.0,27.5,26.0,321.0,33.5,330.0,14.2,153.0,0.17,17.1,72.0,160.3,20.543528421520246,16x19
False,Babolat,AeroPro Drive Plus,100.0,27.5,26.0,326.0,32.5,327.0,12.2,162.0,0.22,16.46,67.0,152.3,20.516745253906734,16x19
False,Babolat,AeroPro Lite GT,100.0,27.0,26.0,277.1,35.6,309.0,13.6,127.0,0.17,13.41,72.0,169.7,20.227292692900303,16x19
False,Babolat,AeroPro Lite/2013,100.0,27.0,26.0,279.0,35.0,299.0,14.1,125.0,0.14,13.6,71.0,169.5,20.512200739114135,16x19
False,Babolat,AeroPro Team GT,100.0,27.0,26.0,290.1,33.5,299.0,12.0,139.0,0.22,11.69,71.0,167.3,20.51133386203613,16x19
False,Babolat,AeroPro Team GT/2013,100.0,27.0,25.0,288.0,34.0,288.0,13.9,122.0,0.08,11.7,72.0,173.6,21.104561600956632,16x19
False,Babolat,Drive Z 110,110.0,27.5,26.0,276.0,36.83,313.0,14.4,114.0,0.02,10.39,66.0,150.0,20.408008219561918,16x20
False,Babolat,Drive Z 110 2009,110.0,27.5,28.0,276.5,35.5,305.0,14.7,125.0,0.11,12.16,62.0,156.9,20.32771651618289,16x20
False,Babolat,Drive Z 118,118.0,27.5,28.0,280.0,36.51,310.0,16.0,113.0,-0.01,15.58,68.0,154.6,20.614450196850317,16x20
False,Babolat,Drive Z 118 2009,118.0,27.5,28.0,276.6,35.7,307.0,16.0,124.0,0.1,13.39,62.0,164.1,20.31810832401967,16x20
False,Babolat,Drive Z Lite,100.0,27.0,26.0,269.0,35.24,300.0,12.1,129.0,0.22,10.64,64.0,145.4,20.072376612357562,16x19
False,Babolat,Play Pure Drive,100.0,27.0,26.0,318.0,33.0,315.0,15.2,147.0,0.18,16.1,74.0,167.2,20.85814977437756,16x19
False,Babolat,Pure Aero,100.0,27.0,26.0,322.0,33.5,328.0,15.0,150.0,0.19,17.1,70.0,148.4,20.68319857948684,16x19
False,Babolat,Pure Aero Lite,100.0,27.0,26.0,289.0,34.4,308.0,14.3,136.0,0.2,15.0,70.0,157.7,20.393141260555847,16x19
False,Babolat,Pure Aero Lite (2019),100.0,27.0,26.0,286.0,34.3,311.0,14.8,142.0,0.27,15.6,68.0,148.2,20.102379399733497,16x19
False,Babolat,Pure Aero Plus,100.0,27.5,26.0,321.0,33.4,331.0,14.4,155.0,0.19,17.2,69.0,153.8,20.48809210212944,16x19
False,Babolat,Pure Aero Team,100.0,27.0,26.0,303.0,33.4,309.0,14.6,143.0,0.2,15.1,69.0,157.7,20.6290088693343,16x19
False,Babolat,Pure Aero Team (2019),100.0,27.0,26.0,301.0,33.0,307.0,14.6,148.0,0.25,15.0,69.0,161.7,20.46980173984686,16x19
False,Babolat,Pure Aero Tour,100.0,27.0,26.0,341.0,32.6,332.0,15.6,158.0,0.18,17.7,68.0,147.1,20.945046125569743,16x19
False,Babolat,Pure Aero VS,98.0,27.0,23.0,320.0,32.4,321.0,14.6,160.0,0.28,16.3,67.0,154.3,20.498786908940737,16x20
False,Babolat,Pure Aero VS Stars and Stripes,98.0,27.0,22.0,314.0,33.3,317.0,14.0,147.0,0.19,15.8,67.0,150.6,20.70371750756768,16x20
